Title,Release Date,Platform,Developer,Genre,Content
1080° Snowboarding Original,1998,N64,Nintendo,Sports,"Video games offer experiences that are literally magical in that they allow you to try things out that you could never do in real life: shooting at cowboys from a speeding stagecoach, speeding through deep space with a talking frog for a wingman, or immersing yourself in the speed and splendor of snowboarding with no danger of caving your head in against a rock. For many virtual extreme-sports enthusiasts, snowboarding might begin and end with Electronic Arts’s brilliantly exaggerated SSX series, but 1080° Snowboarding represents a different approach. Dialing down the elaborate caricature of the sport, 1080° Snowboarding is a stylish downhill racer. Built by the team that made Wave Race 64 and produced by Shigeru Miyamoto, the game benefits from some handsome frosty mountain ranges, a robust world that can zip by at a real pace, and a cluster of trick and race modes that bring real life to the limited range of slopes. At the time of its release, several reviewers became upset with the cheating AI, which was capable of blasting along next to you no matter how well you rode the mountain, but, in truth, the rubber-banding largely serves to keep a thrill of excitement alive when you would traditionally be on your own up front, with no particular sense of urgency. Yet, despite playing it relatively straight when it comes to presentation, it’s the tricks and stunts that carry the game. Watch a seasoned pro at work on the slopes, and 1080° Snowboarding becomes a hair-raising spectator sport as riders chain moves together, using every inch of the environment to their advantage as they plummet downhill. Classy and lithe, the game is everything you want from a snowboarding experience—and, best of all, it won’t land you in a Swiss hospital at the end of it all."
1943 Original,1987,Arcade,Capcom,Shoot ’Em Up,"The year that the war ground on may have been 1943, when rationing continued to bite down hard, construction work on the Pentagon was completed, and the Japanese forces were driven back from Guadalcanal, but it’s a whole lot more enjoyable if you think of it as this snappy little vertical-scrolling blaster from Capcom, released for the delight of the arcade-going public in 1987. The sequel to Capcom’s cracking 1942, 1943 is set in the Pacific as the player fights off waves of oncoming enemies to take the battle to the heart of the Japanese fleet. Once again, victory depends on mastery of standard and special attacks, as you take down spinning, cycling, warping, and flipping waves of oncoming aircraft and ground troops, fighting elaborate boss battles and collecting brilliant power-ups. The health system has been modified somewhat, but the game remains as challenging as ever, and overall success is still as unlikely. (Although the introduction of two-player cooperative action evens out the odds a little, especially during the larger boss confrontations.) Like its predecessor, 1943 is now considered one of the kings of the one-credit play-through challenge, popular among a particularly hardcore group of the game’s enthusiasts. Having created the arcade iteration, Capcom handled a home version for the NES, but a vast and unwieldy range of ports across different platforms range wildly in terms of quality and degrees of fidelity. Faced with such a compromised muddle, if you’re itching to restage the Battle of Midway in entirely unrealistic terms today, you’ll probably want to hunt down the mighty Capcom Classics Collection—a generous PS2 and Xbox compilation—which features this game, along with many other greats, and has some rather delightful menus to boot."
720° Original,1986,Arcade,Atari,Sports,"The first skateboarding game didn’t just offer tricks and half-pipes: It encouraged players to stick around and try to build a career. Racing from one skate park to the next, dodging traffic, players had to make enough money to reach the next level. Where a home game expects you to linger, searching for hidden secrets, the intention of 720°, as a coin-op, is to keep you moving. Take too long, and you’ll hear the game’s famous catchphrase—“Skate or die”—followed by a pack of killer bees that will sting you to death unless you scramble to the next skate park. And if you don’t have the cash to keep going, it’s game over. The game benefits from a simple but effective control system. With just two buttons and a joystick, gamers tackle four different events, pulling off tricks on the halfpipe, threading through the gates on the slalom, or setting a speed record on the downhill course. The moves are simple next to today’s byzantine skate titles, but the action is thrilling, and the concept was proven: 720° gave birth to the extreme sports genre in gaming."
A Boy and His Blob Original,2009,Wii,WayForward Technologies,Platform / Puzzle,"Based on the similarly named 1989 NES title, A Boy and His Blob is a love letter to a past generation of platform games. The plot is the innocent stuff of Disney cartoons: a planet in peril under an evil emperor births a sole refugee, the titular “blob”; said blob encounters young boy; they battle on Earth, and head for the stars to free the blob planet. To battle the evil minions, the blob can transform into a wide variety of apparatus, from ladder to parachute to trampoline. Each ability is created as the boy feeds the blob jellybeans, naturally. Art director Marc Gomez pulls the aesthetic sensibility from the world of Japanese filmmaker Hiyao Miyasaki, softening the edges and using loose brushstrokes to animate the imaginary environment. But what emerges is a lovely connection between the boy and the blob, much in the tradition of Fable II—the blob is indispensable to your mission, yet completely reliant on you for its care and direction. But nothing makes more sense than the developer’s choice to include a “hug” button, which does nothing but allow the boy to embrace his companion. We should all hope to be so lucky."
A Mind Forever Voyaging Original,1985,Various,Infocom,Text Adventure,"At the height of its powers, Infocom took a chance on its boldest game: an interactive story about the power of politics to crush lives, a personal story told from inside a computer, and a game with almost no challenge. A Mind Forever Voyaging casts the player as a sentient artificial intelligence in a laboratory. The government is about to roll out a radical set of policies called the Plan for Renewed National Process, and you are tasked with exploring a simulation of the future to assess how the Plan plays out. Across five decades, Perry, the human form inhabited by the AI, visits the fictional town of Rockvil, South Dakota, and tries to live an ordinary life: He buys some clothes, talks to pedestrians, and stops home to see his wife. But every decade, everything he sees gets worse. Perry can record his experiences and bring them back for evidence, but not everyone likes his report—and that’s when the game’s only challenge appears. But for most of the game, players explore Rockvil with nothing standing in their way, and the act of gathering research is as compelling as any riddlish Infocom puzzle. As a point-by-point critique of conservative policies released at the height of the Reagan era, the game makes a radical political statement: writer Steve Meretzky essentially warns us that the policies of the right will destroy the human race. A Mind Forever Voyaging never quite managed to raise the firestorm Meretzky had hoped, and today it’s remembered more for the richness of detail woven into Perry’s simulated world. The game forces you to witness cruelties both large and small, affecting those most precious to you. And even without a puzzle, the process of asking you to document these moments hooks you in a way unique to the medium."
A.P.B. Original,1987,Arcade,Atari,Action,"Cop dramas have always been popular on TV and at the movies, so it should be no surprise to find the format transfer happily to the games console. You begin your career in A.P.B. as Officer Bob, a rookie whose boss doesn’t trust him to arrest anything more dangerous than a traffic cone. Get through basic training, and you’ll soon have your daily quota of perps to pull over—mainly the regular riffraff and litterbugs. Life is good (the donuts are easy to find), but then you get your big shot: a chance to catch a drug-trafficking hippie, the target of an actual all points bulletin. And that’s where the game really takes off, because as corny as A.P.B. may look to today’s Need for Speeders, it really knows how to pull off a high-speed chase. Coming well after the end of the arcade craze, A.P.B. used a lengthy career mode and a flashy cabinet, replete with flashing police lights, to lure kids away from their Nintendos. The characters come straight out of a bad cop show, with nemeses, like Sid Sniper and Freddy Freak, and a boss who literally breathes fire at you if you rack up too many demerits. Casual offenders can be stopped by aiming a reticule at them and hitting them with your siren, and it moves farther out the faster you go, making it easy to pick off perps while you’re racing down the road. Your reward, however, is that if you do a good enough job, your boss will let you carry a gun. The driving experience is certainly breathtaking. Making full use of the tall, vertical-scrolling display, roads split and run parallel, with shortcuts and sharp turns everywhere. Bang into too many innocent cars, and you’ll lose your job. Catch your target, and you can take him back to the station and “beat” out a confession. Your education as an officer is complete."
Ace Combat 6: Fires of Liberation Original,2007,Xbox 360,Namco,Flight Simulator/ Combat,"Namco’s Ace Combat is a famously formulaic series that gets by on two things: increasingly realistic looks and the geometric beauty of a midair dogfight. Drama befalls the characters, and the backdrops always change, but the games are still best described by their post-flight replays, the paths of the planes twisting and circling like decorative ribbons. Ace Combat 6: Fires of Liberation stays the course while boasting the strongest of the series’ stories. It’s also, at times, indistinguishable from reality. If you want a random screenshot, just lean from a window and look up. Don’t look down because the ground isn’t nearly as photogenic. Streets, houses, soil, and waves don’t come as easily as an unreachable skybox, but at least they don’t look like porridge in Ace Combat 6: Fires of Liberation, which is an improvement, thanks to the Xbox 360. The game even goes as far as to make treacherous urban canyons out of streets and skyscrapers. All that rolling to and fro can, as ever, feel like being trapped inside a washing machine, but Namco, with experience in making story-laden fighting games like Tekken, knows how to spice it up. Its conflict, a fictional war between the Republic of Emmeria and the Federal Republic of Estovakia, may be viewed from four different perspectives. There’s a washed-up fighter ace assigned to desk duty on the ground, a squadron leader on the opposing side, a mother left wandering after an air strike wipes out her home, and a tank chief looking to make some easy money behind enemy lines. Ace Combat 6: Fires of Liberation also makes time for several fan favorite multiplayer modes, filling the online skies with up to sixteen fighters at once. Is anyone still playing, though? That’s another matter."
ActRaiser Original,1990,SNES,Square,Action / Strategy,"Sometimes a straightforward action game isn’t enough. And sometimes, to really get to the heart of the fun, you have to blend a simple adventure game with the tenets of a city building god sim. ActRaiser may not be as famous as Square’s other more traditional games, such as the successful and million copy-selling Final Fantasy series, but in its mixing of genres it ensures that there’s nothing else quite like it. Players are cast in the role of the Master and tasked with rebuilding an entire civilization by working through side-scrolling stages, lopping away at enemies with a sword and tackling bigger and bigger boss monsters. You also have to take a break now and then in order to switch to a top-down perspective, so you can convince tiny followers to build roads, houses, and other such important structures, and generally smarten the whole place up a bit. It’s tempting to see the game as God of War meets SimCity, but ActRaiser has a peculiar spirit all of its own, and one which, with its focus on deities and civilization, has landed the title in hot water with religious groups over the years. More of a curio than a smash hit, ActRaiser also confused as many players as it delighted. It’s easy to see why this occurred; as much fun as the whole thing is, the mix of genres is not handled in the slickest of manners. That said, this particular muddle of distinctive game types must have had something magical to it. The sequel, which dropped the city building aspects, has little of the original’s charm and appeal. Whether ActRaiser’s the kind of thing that you’ll lap up or spit out is something you can discover with ease these days. You only need to spend a few moments downloading this strange and willful title through the Wii’s Virtual Console service to experience the game for yourself."
Advance Wars Original,2001,Game Boy Advance,Intelligent Systems,Strategy,"Advance Wars, like chess, suggests that global conflict doesn’t have to be messy. It can be precise, thought provoking, tidy, and actually rather polite. If you’re after a breezy tactical challenge with a story that unfolds in friendly commuter-sized chunks, built to fit into a space of fifteen minutes or so, this is the game for you. The game’s chummy tale of rip-roaring geopolitical shenanigans unfolds in bright, anime-styled cut scenes, peopled with a youthful cast who seem to treat the prospect of planet-wide warfare with all the gloom and terror one might summon for a playground game of marbles. Advance Wars may paint conflict in very cheerful colors, but to write the game off as childish would be to miss the fearsome tactical heart that beats at its core. Gripping and unforgettable, it’s elegant stuff. Indeed, a game as eternally enjoyable as Advance Wars suggests that Intelligent Systems (many of whose key staff had been part of Nintendo legend Gunpei Yokoi’s Research and Development Team) might just be the most aptly named of all video game studios."
Advance Wars: Dual Strike Original,2005,DS,Intelligent Systems,Strategy,"Such is the clarity and vision of the Advance Wars series that Intelligent Systems doesn’t really have to do that much when bringing out a new edition. Players just want another campaign, new maps, and perhaps a sexy new CO with huge headphones and a tinkly laugh. When the developer does add things, the result is often akin to the hateful pipes network of Advance Wars 2—artificial contrivances that bring nothing to the game. A shift to the DS required a certain degree of innovation, however, and the developer rose beautifully to the occasion, providing a generous measure of additional graphical polish—setting the game’s maps at an attractive angle and beefing up the transitions and presentation somewhat—while throwing in new modes and tricks to keep established COs satisfied. The main campaign provides another cartoony romp through the hellish caldera of war, throwing in a few missions built around quirkier, more narrative led objectives like stopping missile launches, rather than the regular slog to the death the series usually trades in. The ability to double-team COs changes the strategic options somewhat too. Elsewhere a handful of new modes kept players busy away from the main campaign, Survival throwing out a gauntlet of matches and starting points, while Combat is practically a shooter, switching the game to real-time with oddball results. Multiplayer users hoping to take the fight online would have to wait for the bleak follow-up, Days of Ruin, which irradiated the game’s cheery color scheme and offered a slightly grittier plot. Advance Wars: Dual Strike feels like the more faithful title, and the more imaginative. "
